uri,artist_names,track_name,peak_rank,weeks_on_chart,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,tempo,time_signature,duration_ms
spotify:track:02MWAaffLxlfxAUY7c5dvx,glass animals,heat waves,1,65,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,80.87,4,238805
spotify:track:5PjdY0CKGZdEuoNab3yDmX,"the kid laroi, justin bieber",stay (with justin bieber),1,37,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,169.928,4,141806
spotify:track:3IAfUEeaXRX9s9UdKOJrFI,anitta,envolver,3,3,0.812,0.736,4,-5.421,0,0.0833,0.152,0.00254,0.0914,91.993,4,193806
spotify:track:1HhNoOuqm1a5MXYEgAFl8o,"imagine dragons, jid, arcane, league of legends",enemy (with jid) - from the series arcane league of legends,3,21,0.728,0.783,11,-4.424,0,0.266,0.237,0.0,0.434,77.011,4,173381
spotify:track:4fouWK6XVHhzl78KzQ1UjL,gayle,abcdefu,1,19,0.695,0.54,4,-5.692,1,0.0493,0.299,0.0,0.367,121.932,4,168602
spotify:track:7rglLriMNBPAyuJOMGwi39,"elton john, dua lipa, pnau",cold heart - pnau remix,4,32,0.795,0.8,1,-6.32,1,0.0309,0.0354,7.25e-05,0.0915,116.032,4,202735
spotify:track:1ri9ZUkBJVFUdgwzCnfcYs,"becky g, karol g",mamiii,5,6,0.843,0.7,4,-3.563,0,0.0803,0.0934,0.0,0.14,93.991,4,226088
spotify:track:5Z9KJZvQzH6PFmb8SNkxuk,"lil nas x, jack harlow",industry baby (feat. jack harlow),2,35,0.741,0.691,10,-7.395,0,0.0672,0.0221,0.0,0.0476,150.087,4,212353
spotify:track:6mmPpaltUZK7xjNlBPQQ0p,"rauw alejandro, chencho corleone",desesperados,8,15,0.869,0.694,1,-3.35,0,0.0783,0.356,0.00125,0.0878,90.02,4,224997
spotify:track:50nfwKoDiSYg8zOCREWAm5,ed sheeran,shivers,4,28,0.788,0.859,2,-2.724,1,0.0856,0.281,0.0,0.0424,141.02,4,207853
spotify:track:6Uj1ctrBOjOas8xZXGqKk4,doja cat,woman,6,37,0.824,0.764,5,-4.175,0,0.0854,0.0888,0.00294,0.117,107.998,4,172627
spotify:track:46IZ0fSY2mpAiktS3KOqds,adele,easy on me,1,23,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,141.981,4,224695
spotify:track:6I3mqTwhRpn34SLVafSH7G,justin bieber,ghost,11,27,0.601,0.741,2,-5.569,1,0.0478,0.185,2.91e-05,0.415,153.96,4,153190
spotify:track:0QBzMgT7NIeoCYy3sJCof1,"camila cabello, ed sheeran",bam bam (feat. ed sheeran),13,3,0.756,0.697,8,-6.377,1,0.0401,0.182,0.0,0.333,94.996,4,206071
spotify:track:58HvfVOeJY7lUuCqF0m3ly,elley duhé,middle of the night,14,13,0.41,0.611,4,-8.271,0,0.0467,0.0228,0.0,0.116,185.727,3,184448
spotify:track:1O2pcBJGej0pmH2Y9XZMs6,cris mj,una noche en medellín,16,4,0.87,0.548,10,-5.253,0,0.077,0.0924,4.6e-05,0.0534,96.018,4,153750
spotify:track:0e8nrvls4Qqv5Rfa2UhqmO,lil nas x,thats what i want,3,27,0.737,0.846,1,-4.51,0,0.22,0.00614,0.0,0.0486,87.981,4,143901
spotify:track:3uUuGVFu1V7jTQL60S1r8z,"lost frequencies, calum scott",where are you now,18,29,0.671,0.636,6,-8.117,0,0.103,0.515,0.000411,0.172,120.966,4,148197
spotify:track:59CfNbkERJ3NoTXDvoURjj,dove cameron,boyfriend,11,6,0.345,0.612,7,-6.543,0,0.0608,0.232,0.0,0.194,179.773,3,153000
spotify:track:3rmo8F54jFF8OgYsqTxm5d,ed sheeran,bad habits,3,39,0.807,0.893,11,-3.745,0,0.0347,0.0451,2.79e-05,0.366,126.011,4,230747
spotify:track:1SOClUWhOi8vHZYMz3GluK,jaymes young,infinity,11,21,0.671,0.673,11,-6.941,0,0.0444,0.148,5.29e-05,0.304,121.963,4,237720
spotify:track:2B4GHvToeLTOBB4QLzW3Ni,farruko,pepas,4,37,0.762,0.766,7,-3.955,1,0.0343,0.00776,6.98e-05,0.128,130.001,4,287120
spotify:track:18asYwWugKjjsihZ0YvRxO,"tiësto, ava max",the motto,23,20,0.754,0.763,7,-4.627,0,0.0435,0.0301,2.23e-05,0.0901,117.953,4,164819
spotify:track:4ZtFanR9U6ndgddUvNcjcG,olivia rodrigo,good 4 u,1,45,0.563,0.664,9,-5.044,1,0.154,0.335,0.0,0.0849,166.928,4,178147
spotify:track:46HNZY1i7O6jwTA7Slo2PI,"coldplay, bts",my universe,3,26,0.573,0.711,1,-6.268,0,0.0406,0.0114,0.0,0.328,105.006,4,226198
spotify:track:4SqWKzw0CbA05TGszDgMlc,the walters,i love you so,21,24,0.575,0.648,10,-4.891,1,0.0358,0.583,0.0,0.115,75.977,4,160240
spotify:track:0VjIjW4GlUZAMYd2vXMi3b,the weeknd,blinding lights,1,121,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,171.005,4,200040
spotify:track:4gzsuuZypVbxs0Af1LSZyB,"tainy, bad bunny, julieta venegas",lo siento bb:/ (with bad bunny & julieta venegas),12,25,0.639,0.703,4,-6.33,0,0.0794,0.0889,1.78e-06,0.0865,169.888,4,207301
spotify:track:7mFj0LlWtEJaEigguaWqYh,"megan thee stallion, dua lipa",sweetest pie,17,2,0.814,0.628,7,-7.178,1,0.221,0.167,0.0,0.101,123.977,4,201334
spotify:track:2WL6GQzPuK9Nrpy9XwNEbz,nirvana,something in the way,19,3,0.426,0.225,8,-12.422,1,0.0291,0.823,0.367,0.11,104.506,4,232204
spotify:track:7jtQIBanIiJOMS6RyCx6jZ,tom odell,another love,31,50,0.442,0.538,4,-8.55,0,0.0451,0.717,2.95e-05,0.09,122.758,4,244360
spotify:track:20on25jryn53hWghthWWW3,"acraze, cherish",do it to it,9,21,0.854,0.806,11,-8.262,0,0.0886,0.0209,0.0542,0.0703,124.927,4,157890
spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,the neighbourhood,sweater weather,29,82,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,124.053,4,240400
spotify:track:2JPLbjOn0wPCngEot2STUS,bad bunny,yonaguni,3,42,0.644,0.648,1,-4.601,1,0.118,0.276,0.0,0.135,179.951,4,206710
spotify:track:3Vi5XqYrmQgOYBajMWSvCi,doja cat,need to know,6,41,0.664,0.609,1,-6.509,1,0.0707,0.304,0.0,0.0926,130.041,4,210560
